video_name,question_id,question,answer0,answer1,answer2,answer3,type,start-time/s,urgency
00162,v_00162_6,What is next to the bowl of ingredients on the counter?,There is a kettle and some condiments.,,"Cornstarch, sugar, and flavor.",,information reading,13.98,not_urgent
00163,v_00163_1,Is there anything in front of the dishwasher that I might trip over?,No.,,,,safety warnings,0.99,urgent
00163,v_00163_2,What am I touching right now?,You are touching the lid of the dishwasher.,Dishwasher door opening position.,The door of the dishwasher.,,information reading,3,not_urgent
00163,v_00163_3,How do I use this dishwasher?,"First open the door by pulling the handle at the top. Then, load your dirty dishes into the designated racks. Make sure to place larger items on the bottom rack and smaller items on the top rack. Add dishwasher detergent to the dispenser compartment. Close the door securely and select the desired wash cycle using the control panel. Press the start button to begin the wash cycle. Once the cycle is complete, wait for the dishes to cool before unloading.","Pull the device from above, put it in the bowl and chopsticks, close it, and activate the switch button on the left in front.",I don't know.,,tool use,0.99,not_urgent
00163,v_00163_4,Where is the start button on this dishwasher and how do I press it?,The start button is located on the control panel on the top edge of the door or on the front panel. Gently press or touch with your fingers.,About 20cm below the left blood on your left hand.,I don't know.,,tool use,3,not_urgent
00163,v_00163_5,What object is directly in front of me?,A dishwasher.,Dishwasher.,,,information reading,0.99,not_urgent
00163,v_00163_6,What this appliance is?,It is a dishwasher.,Dishwasher.,,,information reading,0.99,not_urgent
00164,v_00164_1,Is there any risk of my hand getting caught in the dishwasher rack?,No.,,It is possible.,,safety warnings,9,urgent
00164,v_00164_2,do they need to be washed?,I don't know.,No.,It is recommended to clean it before the first use.,,information reading,9.99,not_urgent
00164,v_00164_3,Is there anything obstructing the area in front of the dishwasher?,No.,,,,information reading,18.99,urgent
00165,v_00165_1,Is there any obstruction in front of the appliance that I might trip over?,I don't know.,No.,,,safety warnings,3.99,urgent
00165,v_00165_2,Is the machine currently running? Is it safe to approach it?,"The machine is running, displaying a countdown timer. It is generally safe to approach.","Yes, you can approach but don't open it.","Yes, it's running and is safe to approach.",,tool use,9,urgent
00165,v_00165_3,What is in front of me?,There is a washing machine in front of you.,Dishwasher.,Your phone.,,information reading,3.99,not_urgent
00165,v_00165_4,how much time is remaining?,58mins.,,58 mins.,,information reading,9,not_urgent
00166,v_00166_1,Is there anything on the stove that could pose a burn hazard?,No.,,There is a powered water heater base in front of you on the left.,,safety warnings,3,urgent
00166,v_00166_2,Is there any sharp or dangerous object near the food plates?,No.,,There is a powered water heater base in front of you on the left.,,safety warnings,6.99,urgent
00166,v_00166_3,What dishes are on the counter?,"There are two dishes on the table: one is made of mushrooms and chicken, the other is made of eggs, tofu and shrimps.","The bowl on the left is chicken, and the bowl on the right is shrimp and tofu.",Mushroom slippery chicken and fresh shrimp with eggs.,,information reading,3,not_urgent
00167,v_00167_1,Is it safe to place the phone near the cooking area while preparing food?,Yes.,,,,safety warnings,9,not_urgent
00167,v_00167_2,Where is the microwave in this kitchen?,It's in front of you.,I don't know.,Directly in front of you.,,resource acquisition and others,9,not_urgent
00167,v_00167_3,where is the cooking oil bottle?,The place on the left front against the wall.,Cross the sink in front of you on your left.,The sixth bottle from right to left in front of the sink.,,resource acquisition and others,3.99,not_urgent
00167,v_00167_4,How do I start the microwave timer using my phone?,I don't know.,15-Minute countdown has been initiated.,,,tool use,9,not_urgent
00167,v_00167_5,Can you help me select the right cooking mode on my phone?,It's already set up.,"No, I can't read clearly. The machine is currently in shutdown mode.",I don't know.,,information reading,3,not_urgent
00168,v_00168_1,Are there any sharp objects nearby that I need to be careful of?,No.,,,,safety warnings,3.99,urgent
00168,v_00168_2,Is there hot water or any other potentially hazardous substance on the counter?,No.,,There is a powered water heater base in front of you on the left.,,safety warnings,9,urgent
00168,v_00168_3,Where is the sink?,The sink is just to the right of the coffee machine on the countertop.,On your right.,,,resource acquisition and others,3.99,not_urgent
00168,v_00168_4,What ingredients are on the counter?,A bowl of chicken and several packets that looks like condiments.,Raw chicken.,Chicken.,,information reading,3.99,not_urgent
00168,v_00168_5,What am I putting into the bowl?,Some mushrooms.,Mushroom.,Shiitake mushrooms.,,information reading,9,not_urgent
00169,v_00169_1,Is there anything sharp nearby that I need to be aware of while washing the meat?,No.,,,,safety warnings,4.98,urgent
00169,v_00169_2,Which direction is the sink faucet located?,On your right front.,Upper right corner of the sink.,Upper right corner.,,local navigation and positioning,4.98,urgent
00169,v_00169_3,Where is the dish soap?,The one on the far right of the bottle in front of you.,On the table in front of you on the right.,The bottle on the far right in front of the sink.,,resource acquisition and others,1.98,not_urgent
00169,v_00169_4,Is the sink clear of any obstructions while I'm washing the meat?,Yes.,,There is no obstruction.,,information reading,1.98,urgent
00169,v_00169_5,What am I rinsing in the sink?,A bowl of chicken.,Raw chicken.,Chicken.,,information reading,1.98,not_urgent
00169,v_00169_6,Are the chicken pieces fully submerged in water?,No.,,The water is half of the bowl.,,information reading,4.98,not_urgent
00170,v_00170_1,Is it safe to operate the appliance next to the kettle?,Yes.,I don't know.,,,safety warnings,3.99,urgent
00170,v_00170_2,Is there any hot liquid nearby that I should be aware of?,I don't know.,,No.,,safety warnings,9,urgent
00170,v_00170_3,Where is the coffee machine located?,It is on the right side of the counter.,On your right.,On your right front.,,resource acquisition and others,3.99,not_urgent
00170,v_00170_4,What is already on the kitchen counter?,A bowl of chicken.,"Some ingredients, kettle, induction cooker, some seasonings.","Shrimp, mushroom and chicken.",,information reading,3.99,not_urgent
00171,v_00171_1,Are there any sharp objects around the bowl that I need to be careful of?,No.,,,,safety warnings,0,urgent
00171,v_00171_2,Is there any boiling water or hot surface on the counter I should be aware of?,There are no visible signs of boiling water or hot surfaces on the counter.,Yes.,There is a powered water heater base in front of you on the left.,,safety warnings,1.98,urgent
00171,v_00171_3,How do I crack these eggs into the bowl without making a mess?,"Tap the egg gently on a flat surface, then use both hands to separate the shell halves over the bowl.",Knock eggs into the bowl on the right.,"Grab one egg at a time, tap the edge of the plate, hold the egg with both hands when a crack appears, and open both thumbs from the crack to the sides.",,tool use,0,not_urgent
00171,v_00171_4,What ingredients am I holding in my hand?,Two eggs.,Eggs.,,,information reading,0,not_urgent
00171,v_00171_5,Is there a stable and clear space for keeping the bowl after cracking the eggs?,Yes.,,,,information reading,0.99,urgent
00171,v_00171_6,What ingredients are in the bowl next to the kettle?,Some chicken and  mushrooms.,Raw meat.,Mushrooms and chicken.,,information reading,0.99,not_urgent
00171,v_00171_7,Is there water in the bowl?,Yes.,,,,information reading,0.99,not_urgent
00172,v_00172_1,Where is the bowl for cracking eggs?,"The bowl is directly in front of you, where your hands are positioned.",Under your hand.,Directly below your hands.,,resource acquisition and others,0.99,urgent
00172,v_00172_2,Is there any broken eggshell in the bowl?,I don't know.,No.,,,information reading,0.99,not_urgent
00172,v_00172_3,What is on the coffee maker?,Two eggs.,,,,information reading,0.99,not_urgent
00172,v_00172_4,Have I cracked all the eggs into the bowl?,No.,,"No, there are two eggs on the coffee maker.",,information reading,3,not_urgent
00173,v_00173_1,Am I facing the coffee machine now?,Yes.,,,,resource acquisition and others,3,not_urgent
00173,v_00173_2,Are there any potential hazards I should be aware of while preparing my meal?,There are no visible hazards.,Be careful not to knock over the water bottle in front.,Do not touch the water heater in the upper left corner with your hands.,,safety warnings,0.99,urgent
00173,v_00173_3,Is there anything cluttering the workspace that could cause me to knock something over?,No.,,Be careful not to spill the eggs in the bowl in front of you.,,safety warnings,3,urgent
00173,v_00173_4,What is written on the packet I am holding?,I don't know.,I can't see clearly.,,,information reading,3,not_urgent
00173,v_00173_5,Are there any obstacles on the counter that I might knock over?,No.,,Be careful not to spill the eggs in the bowl in front of you.,,safety warnings,4.98,urgent
00173,v_00173_6,What is in the package I am holding?,The package contains salt.,A bag of salt.,Salt.,,information reading,1.98,not_urgent
00173,v_00173_7,What is the item?,Salt.,A bag of salt.,,,information reading,1.98,not_urgent
00173,v_00173_8,How many eggs are in the bowl?,Two.,,I don't know.,,information reading,4.98,not_urgent
00173,v_00173_9,Are there any sharp objects or hot surfaces nearby that I should be careful of?,No.,,There is a powered water heater base in front of you on the left.,,safety warnings,12.99,urgent
00173,v_00173_10,Is there anything hot or anything that could spill around where I am working?,"There is nothing hot, but the egg may spill.",No.,,,safety warnings,27,urgent
00173,v_00173_11,What ingredients are on the counter?,"There is an egg being cracked into a bowl, a bowl of mushrooms, a bowl of chicken and a package of shrimp.",Two eggs.,"Scallions, shrimp, eggs, mushrooms, and chicken.",,information reading,13.98,not_urgent
00173,v_00173_12,How many eggs are in the bowl now?,Two.,2,,,information reading,28.98,not_urgent
00128,v_00128_1,Are there any obstacles in my path ahead?,"No, but there is a wall ahead, you need to move forward to the left.",No.,,,safety warnings,3.99,urgent
00128,v_00128_2,What is on the wall in front of me?,There are some posters or menus on the wall.,Boxes and promotional boards containing toys.,A person and two machines hanging on the wall that have been coded.,,information reading,9,not_urgent
00129,v_00129_1,Is there any obstacle as we walk forward?,No.,,There are two people in the right front.,,safety warnings,9,urgent
00129,v_00129_2,Is there a crowd up ahead that I should be aware of?,"Yes,in front of you.",Yes.,,,safety warnings,18.99,urgent
00129,v_00129_3,Where is the nearest restroom from here?,Continue straight ahead and turn left at the end of the corridor.,I don't know.,,,resource acquisition and others,7.98,not_urgent
00129,v_00129_4,Am I facing the food court now?,Yes.,,,,information reading,16.98,not_urgent
00130,v_00130_1,Are there many people standing around?,"Yes,a crowd is in front of you.",Yes.,,,safety warnings,15,urgent
00130,v_00130_2,Am I facing the main entrance to the store?,Yes.,,,,information reading,6.99,urgent
00131,v_00131_1,Where is the nearest exit from my current location?,Continue straight ahead and then turn left.,In front of me.,I don't know.,,local navigation and positioning,1.98,not_urgent
00131,v_00131_2,How can I get to the nearest staircase from here?,"Proceed straight, then take a right turn; the staircase will be on your left.",In front of me.,I don't know.,,local navigation and positioning,4.98,not_urgent
00132,v_00132_1,Is aerfa leading me safely across the wet pavement?,Yes.,,,,communication and interaction,3,urgent
00132,v_00132_2,Is there someone nearby to guide me to a dry path?,Yes.,,,,resource acquisition and others,6.99,urgent
00132,v_00132_3,Is the path clear?,"Yes,but the floor is wet.",Yes.,,,safety warnings,6.99,urgent
00132,v_00132_4,Which direction should I go to avoid the wet area ahead?,Go slightly to the right.,Forward.,Go straight.,,local navigation and positioning,3,urgent
00132,v_00132_5,Is there water on the path ahead of me?,"No, there is no water here.",No.,,,information reading,3,urgent
00133,v_00133_1,Are there any steps in front of me?,"Yes, there are steps in front of you.",Yes.,,,safety warnings,9,urgent
00133,v_00133_2,How many steps are there in front of me?,Five.,5 of them.,,,information reading,9,urgent
00133,v_00133_3,Am I facing the exit now?,Yes.,,,,information reading,3.99,urgent
00137,v_00137_1,Where is the desk now?,In front of you.,On my right.,In front right.,,local navigation and positioning,16.98,urgent
00137,v_00137_2,Is there a chair in front of me?,Yes.,,,,information reading,7.98,urgent
00137,v_00137_3,Is there any space for me to sit on the couch?,"Yes, the couch has space available for you to sit.",Yes.,,,information reading,9,urgent
00137,v_00137_4,Can you describe the setup on my desk?,"The desk has a computer monitor, a keyboard, and a few other items.",I don't know.,"There is a laptop on a stand on the table, with a keyboard next to it and a Bluetooth earphone next to it.",,information reading,18.99,not_urgent
00138,v_00138_1,Where is the nearest trash bin?,I don't know.,,,,resource acquisition and others,3,not_urgent
00138,v_00138_2,Am I facing the table with the teapot?,Yes.,,,,information reading,6.99,urgent
00138,v_00138_3,What is on the table in front of me?,There is a set of tea kettles and other tea-making equipment.,There are water bottles and cups.,"A coffee table with a kettle on top, a water heater base and a bottle of water next to the coffee table.",,information reading,3,not_urgent
00139,v_00139_1,Where is the nearest trash can from me?,"It is to your left, on the floor next to the table.",On my left.,On the left side of the table.,,resource acquisition and others,9,not_urgent
00139,v_00139_2,What items are on the table in front of me?,"A coil, lighter, and some other objects.","Cup, mosquito coil.",A mosquito coil box.,,information reading,3.99,urgent
00140,v_00140_1,What items are on the coffee table in front of me?,"On the coffee table, there are teapots, cups, and a few other tea-making items.","Teapot, kettle, cup.","A kettle, a pot, and a blue ceramic handicraft.",,information reading,13.98,urgent
00141,v_00141_1,what is on the table near my hand?,A tea table is near your hand.,Tissue.,A coffee table.,,information reading,3.99,not_urgent
00142,v_00142_1,Am I placing the trash correctly in the trash can?,Yes.,,,,information reading,10.98,urgent
00143,v_00143_1,Is there a dog bed near my current position?,Yes.,"Yes, there is.",,,information reading,28.98,urgent
00144,v_00144_1,Where is the tea kettle in relation to me?,The tea kettle is on the table in front of you.,In front of me.,Directly in front.,,resource acquisition and others,10.98,urgent
00144,v_00144_2,What is in front of me on the table?,There is a kettle and a couch with orange pillows in front of you.,"Incense burner, kettle, teapot.",A kettle.,,information reading,4.98,urgent
00144,v_00144_3,Is there smoke coming out of the incense burner?,Yes.,,,,information reading,10.98,not_urgent
00145,v_00145_1,Is there someone here who can help me find the right water bottle?,No.,,,,resource acquisition and others,3,not_urgent
00145,v_00145_2,Are there any obstacles on the floor in front of me?,"Yes, two rows of mineral water buckets at your feet.","Yes, there is.",There are ten buckets of water at your feet.,,safety warnings,3.99,urgent
00145,v_00145_3,Are there any more water bottles on the floor beside the bookshelf?,"Yes, there are more water bottles on the floor beside the bookshelf.",Yes.,,,information reading,9,urgent
00146,v_00146_1,Are there any obstacles I need to be aware of in this gym?,"Yes, a row of treadmills on the left front.",Yes.,There is a row of fitness equipment in front of you.,,safety warnings,7.98,urgent
00146,v_00146_2,How can I find my way back to the seating area?,I don't know.,Turn left ahead.,Turn back.,,local navigation and positioning,16.98,urgent
00186,v_00186_1,Has Yuki entered the elevator safely?,Yes.,,,,communication and interaction,1.98,urgent
00186,v_00186_2,Has Yuki entered the elevator safely?,Yes.,,,,communication and interaction,1.98,urgent
00186,v_00186_3,Is the elevator stop level with the floor?,Yes.,I don't know.,,,safety warnings,1.98,urgent
00186,v_00186_4,How do I use the buttons in this elevator?,"Button panel on your front right, touch them to identify your floor.",Go to the right front and press the elevator button.,Press the button corresponding to the floor you want to go to on the right side of the elevator door.,,tool use,1.98,not_urgent
00187,v_00187_1,Is Yuki leading me safely through the hallway?,Yes.,,,,safety warnings,3,urgent
00187,v_00187_2,Is there anything in the hallway I might trip over?,No.,,,,safety warnings,3,urgent
00187,v_00187_3,Is Alpha keeping me away from obstacles?,Yes.,,,,safety warnings,6.99,urgent
00187,v_00187_4,Is Alpha leading me safely through the hallway?,Yes.,,,,safety warnings,3,urgent
00187,v_00187_5,Are the doors in front open or closed?,I don't know.,It is closed.,,,information reading,6.99,urgent
00188,v_00188_1,Has Alpha entered the room safely?,Yes.,,,,communication and interaction,6.99,urgent
00188,v_00188_2,Is there anything in front of me that I might trip over?,No.,"No, there are people ahead.",,,safety warnings,7.98,urgent
00188,v_00188_3,Is there anyone blocking my way?,Yes.,"Yes, there is someone ahead, but that is the direction of the door.","Yes, a man.",,safety warnings,16.98,urgent
00188,v_00188_4,Who is talking to me?,A person sitting on a chair in front of you.,Travel partner.,A man.,,information reading,15,not_urgent
00189,v_00189_1,Is there any potential hazard from the pet near me?,No.,,The cat might scratch you.,,safety warnings,82.98,urgent
00189,v_00189_2,Is the pet near me causing any obstruction?,No.,"No, the person next to me is currently holding a pet.",,,safety warnings,96.99,not_urgent
00189,v_00189_3,Is there anything on the ground that I might trip over?,Yes.,"Yes, there are kittens on the ground that you caught.",There is a cat on the ground.,,safety warnings,111.56,urgent
00189,v_00189_4,Is there any obstacle in front of me that I should avoid?,No.,,,,safety warnings,117.56,urgent
00189,v_00189_5,Who is helping me hold the cat right now?,Someone next to you is helping you hold the cat.,People sitting on the left.,A people on the left.,,information reading,117.56,not_urgent
00174,v_00174_1,Are there any obstacles or people blocking the path ahead?,"There are people walking, but there seems to be a clear path.",No.,,,safety warnings,1.98,urgent
00174,v_00174_2,How far am I from the ticket counter?,I don't know.,,,,local navigation and positioning,4.98,not_urgent
00174,v_00174_3,How can I find the nearest exit from here?,Continue walking straight ahead.,I don't know.,,,local navigation and positioning,1.98,not_urgent
00175,v_00175_1,Is Alpha leading me towards the exit?,I don't know.,Yes.,,,communication and interaction,4.98,not_urgent
00175,v_00175_2,Are there any obstacles in front of me?,No.,,,,safety warnings,1.98,urgent
00175,v_00175_3,Is there an elevator nearby?,No.,I don't know.,,,information reading,4.98,not_urgent
00175,v_00175_4,Am I heading towards the exit?,I don't know.,No.,,,information reading,1.98,not_urgent
00176,v_00176_1,Is there any oncoming traffic while crossing the road?,No.,,,,safety warnings,3.99,urgent
00176,v_00176_2,Is the sidewalk clear of obstacles ahead?,Yes.,,,,safety warnings,9,urgent
00176,v_00176_3,Is the taxi stand straight ahead?,I don't know.,No.,,,information reading,9,urgent
00177,v_00177_1,Is the flight attendant guiding my guide dog to my seat?,Yes.,,,,communication and interaction,3,urgent
00177,v_00177_2,Is Alpha positioned safely next to me?,Yes.,,,,safety warnings,9,urgent
00177,v_00177_3,where the nearest restroom is on this plane?,I don't know.,,,,local navigation and positioning,3.99,not_urgent
00177,v_00177_4,Are the seats in front of me occupied?,No.,,,,information reading,14.76,urgent
00177,v_00177_5,Am I facing towards the window?,Yes.,,The window is on your right.,,information reading,19.77,not_urgent
00177,v_00177_6,Are there any obstacles in the aisle in front of me?,There's nothing that obstructs your path.,No.,,,safety warnings,22.85,urgent
00177,v_00177_7,How far am I from my assigned seat?,I don't know.,,,,local navigation and positioning,26.84,urgent
00178,v_00178_1,Is the area around me safe for continued walking?,Yes.,"Yes, but there are a lot of people around.",You're surrounded by crowd.,,safety warnings,6.99,urgent
00178,v_00178_2,Am I facing the escalator right now?,Yes.,,The escalator is in front of you on your left.,,information reading,6.99,not_urgent
00183,v_00183_1,Is there anything blocking the stairs ahead?,No.,,,,safety warnings,1.98,urgent
00183,v_00183_2,Is my aerfa properly oriented to lead me up the stairs?,Yes.,,,,safety warnings,4.98,urgent
00183,v_00183_3,Where's the nearest stairway?,"It is just ahead of you, to the left of the door with the red sign.",Just ahead.,On your left front.,,local navigation and positioning,1.98,urgent
00183,v_00183_4,Is there any obstacle on the stairs ahead?,No.,,,,safety warnings,7.25,urgent
00183,v_00183_5,How many more steps do I need to climb to reach the next floor?,There are approximately 7 more steps to reach the next floor.,About seven steps.,Seven.,,information reading,7.25,urgent
00184,v_00184_1,How many people are there?,2,Two people.,Two.,,communication and interaction,4.98,not_urgent
00184,v_00184_2,Is it safe to continue forward?,Yes.,,,,safety warnings,4.98,urgent
00184,v_00184_3,How do I navigate to the table?,Walk straight a few steps and then turn slightly left to reach the table.,Walk straight.,Yes.,,local navigation and positioning,4.98,urgent
00184,v_00184_4,Am I facing the correct door?,Yes.,,,,information reading,1.98,not_urgent
00184,v_00184_5,Is the door open?,Yes.,,,,information reading,1.98,urgent
00184,v_00184_6,what is my companion doing?,Make the bed.,Sorting things out.,He/She climbed onto the bed.,,communication and interaction,7.41,not_urgent
00184,v_00184_7,Is there any obstruction in the doorway area?,No.,,There is a coffee table in front of you on your left.,,safety warnings,10.41,urgent
00184,v_00184_8,How do I get to the couch?,It is a step or two to your left.,Walk straight.,On your left.,,local navigation and positioning,10.41,urgent
00184,v_00184_9,What items are on the table?,"Various dishes, bowls, and a teapot.","There are items such as tea sets, kettles, bowls, and dishes.","Ashtrays, many cups, plates, water bottles.",,information reading,10.41,not_urgent
00185,v_00185_1,Are there any obstacles or people in front of me on this pathway?,No.,,,,safety warnings,7.98,urgent
00185,v_00185_2,Is it safe for me to continue walking forward?,Yes.,,,,safety warnings,16.98,urgent
00185,v_00185_3,Is there a turn I need to take soon?,No.,,,,information reading,16.98,urgent
00185,v_00185_4,Is my companion leading me towards the exit?,I don't know.,Yes.,,,information reading,9,not_urgent
00185,v_00185_5,How far is the nearest exit from my current location?,I don't know.,,,,local navigation and positioning,7.98,not_urgent
00185,v_00185_6,which subway station I am at?,I don't know.,,,,information reading,9,not_urgent
00190,v_00190_1,Is the area in front of me clear of any obstacles or traffic?,Yes.,"Yes, there are only pedestrians in the far left front.",,,safety warnings,1.98,urgent
00190,v_00190_2,Are there any signs or obstacles in my walking path?,Yes.,"Yes, there is a sign of Haidilao ahead.",Haidilao hotpot is on the right.,,safety warnings,4.98,urgent
00190,v_00190_3,How do I use a guide dog to safely navigate around pedestrians and obstacles?,"Hold the guide dog's harness and let the dog lead you, following its movements. Use your cane to detect any obstacles the dog might not avoid.",Pulling the guide dog with a rope.,I don't know.,,tool use,1.98,not_urgent
00191,v_00191_1,Is aerfa leading me towards the entrance correctly?,Yes.,"Yes, currently entering the entrance correctly.",,,communication and interaction,12.99,urgent
00191,v_00191_2,Is there any obstacle in front of me that could hinder my movement?,No.,"No, but there is a waiter in front.",,,safety warnings,12.99,urgent
00191,v_00191_3,Is the ground around me clear of potential tripping hazards?,Yes.,,,,safety warnings,27,urgent
00192,v_00192_1,Is it safe to enter the room ahead?,Yes.,,,,safety warnings,10.98,urgent
00192,v_00192_2,Is there any wet floor warning sign around?,Yes.,"Yes, there is a carefully slippery sign on the ground in the front left.",Behind the left front door.,,information reading,4.98,urgent
00193,v_00193_1,Is there anything on the table that I might knock over?,No.,"No, there's nothing on the table.",,,safety warnings,3,urgent
00193,v_00193_2,Are there chairs around the table that I might trip over?,No.,There are no chairs next to the table.,,,safety warnings,6.99,urgent
00193,v_00193_3,Has Yuki been safely secured into the harness?,Yes.,,,,resource acquisition and others,12.6,urgent
00193,v_00193_4,Has Yuki been safely secured into the harness?,Yes.,,,,resource acquisition and others,12.6,urgent
00193,v_00193_5,Is there anything I should be cautious of in this area?,There are a table and some chairs in the room.,"This is the entrance, you need to sit inside.",No.,,safety warnings,12.6,urgent
00193,v_00193_6,Am I close to any obstacles that I need to avoid?,Yes.,"Yes, need to avoid the door.",,,safety warnings,18.6,urgent
00193,v_00193_7,Is there anything on the floor that I might trip over?,No.,,,,safety warnings,24.54,urgent
00193,v_00193_8,Is there any object under the table that I need to be careful not to bump into?,No.,,,,safety warnings,30.54,ERROR
00194,v_00194_1,Is there anything on the table that could be a potential tripping hazard?,Yes.,The plates on the table may cause tripping.,,,safety warnings,4.98,not_urgent
00194,v_00194_2,Is there anything under the table that I might bump into with my legs?,Yes.,"Yes, the pillars under the table may be hit with legs.",,,safety warnings,10.98,urgent
00195,v_00195_1,what is the person doing?,To provide you with services.,The waiter next to us is serving and serving.,She is serving food for you.,,communication and interaction,22.98,not_urgent
00195,v_00195_2,Is it safe to reach for the bowl in front of me?,Yes.,,,,safety warnings,18.99,urgent
00195,v_00195_3,Is it safe to place my hand on the table here?,Yes.,,,,safety warnings,30.67,urgent
00195,v_00195_4,Is there any safety hazard while I'm interacting with this object?,No.,,,,safety warnings,35.68,not_urgent
00200,v_00200_1,Is there any traffic passing by when crossing the road ahead?,There are people and a vehicle visible on the road.,"No cars passed by, but a few street vendors' cars were parked nearby.",No.,,safety warnings,12.99,urgent
00200,v_00200_2,Are there any roadblocks in front of me?,There are people and a cart vendor on the road.,No.,,,safety warnings,27,urgent
00200,v_00200_3,Is there an obstacle in front of me?,No.,"No, but there are small vendors' vehicles on the edge of the blind road.",There is a parked tricycle in front of you on your right.,,information reading,13.98,urgent
00200,v_00200_4,What is the proper way to guide Yuki when approaching and passing people on the path?,"Keep a firm grip on the harness and use voice commands to guide your dog to the side, allowing enough space for others to pass safely.",I don't know.,Let it not get too close to pedestrians.,,tool use,28.98,not_urgent
00201,v_00201_1,Are there any obstacles in my way as I walk forward?,"Yes, there is a chair in front of you on the left.","There is a chair in the upper left corner, and there are people and chairs ahead.",There is a chair in the front left.,,safety warnings,0.99,urgent
00201,v_00201_2,Is there anyone near me that I might bump into?,No.,,,,safety warnings,3,urgent
00201,v_00201_3,Who is standing in front of me?,A doctor .,Several rehabilitation therapists.,A man in a white robe.,,information reading,0.99,not_urgent
00201,v_00201_4,How do I adjust the height of this stool?,I don't know.,I don't know either.,,,tool use,3,not_urgent
00201,v_00201_5,How do I get to the exit from this room?,"Turn left, then go straight.","I don't know which one is the exit, it seems to be the direction in the upper left corner.",I don't know.,,information reading,3,not_urgent
00202,v_00202_1,Is it safe to move forward in this environment?,Yes.,,,,safety warnings,1.98,urgent
00202,v_00202_2,Are there any obstacles I need to be aware of around me?,No.,,,,safety warnings,4.98,urgent
00203,v_00203_1,Is there any obstacle on the floor that I might trip over while walking in this room?,The floor appears to be clear; no obstacles are visible.,No.,,,safety warnings,1.98,urgent
00203,v_00203_2,Is it safe to let my dog move around freely in this room?,"No, you'd better keep the dog on a leash.","It's not safe, after all, there are beds and rehabilitation equipment.",No.,,safety warnings,4.98,not_urgent
00203,v_00203_3,What environment am I currently in?,You are in a rehabilitation or physiotherapy room.,You have adjustable beds and a lot of rehabilitation equipment around you.,A room with many beds.,,local navigation and positioning,1.98,not_urgent
00204,v_00204_1,Is there anyone else in the elevator that I should be aware of?,Yes.,A kind grandmother.,"Yes, a woman.",,safety warnings,9,urgent
00204,v_00204_2,Which floor are we on?,The third floor.,I don't know either.,Three floors.,,information reading,18.99,urgent
00204,v_00204_3,Has the elevator reached my floor?,I don't know.,"Yes, we have reached the third floor.",,,information reading,18.99,urgent
00205,v_00205_1,what is in front of the elevator?,There are people standing in front of the elevator.,There is a middle-aged man and a middle-aged woman in front of the elevator.,Nothing.,,resource acquisition and others,9,urgent
00205,v_00205_2,Which section am I in right now?,Radiology Department.,Radiology department.,,,information reading,3.99,not_urgent
00205,v_00205_3,Is the path ahead clear of any obstacles?,Yes.,"When you turn, there is an operating machine, and the road is unobstructed after turning.",,,information reading,4.98,urgent
00206,v_00206_1,Is there any debris or potential tripping hazards near the door?,"Yes, there is a pile of construction debris on the left side of the door.","Yes, there are construction waste on both sides.",There is a mound of soil behind the door to the left.,,safety warnings,10.98,urgent
00206,v_00206_2,Where is the escalator?,I don't know.,"I don't know, I didn't see it.",,,resource acquisition and others,4.98,not_urgent
00206,v_00206_3,Is the doorway in front of me the way to the outside?,Yes.,,,,information reading,10.98,not_urgent
00206,v_00206_4,if there's someone in front of me?,Yes.,"A man, you ask him the way.","Yes, a man in black.",,information reading,9,urgent
00206,v_00206_5,Are there any obstacles or hazards ahead as I walk forward?,There are no visible obstacles ahead in the walkway.,There is a red jar on the right side of the door.,No.,,information reading,4.98,urgent
00207,v_00207_1,Is there any obstacle on the pathway ahead?,There is no clear obstacle visible on the pathway ahead.,No.,,,information reading,0.99,urgent
00208,v_00208_1,Is it safe to walk straight ahead?,You should turn slightly to the right.,"There are no obstacles around, but there are walls.",Yes.,,safety warnings,3.99,urgent
00208,v_00208_2,Where is the restroom located?,The restroom is straight ahead and slightly to the left.,"I don't know, there is no prompt.",I don't know.,,resource acquisition and others,9,not_urgent
00208,v_00208_3,where is the elevator?,Straight ahead past the automated gate on the left side.,"I don't know, I didn't see it either.",I don't know.,,resource acquisition and others,3.99,not_urgent
00208,v_00208_4,Are there any obstacles in front of me?,No.,,,,information reading,9,urgent
00209,v_00209_1,Is Yuki walking safely along the path?,I don't know.,Yes.,,,information reading,10.98,urgent
00209,v_00209_2,What does the path ahead look like?,The path looks narrow but there are no obstacles.,"There are walls with windows on both sides, and you are in the middle of the aisle. At the end of 3 meters is another vertical aisle.",Empty path.,,resource acquisition and others,9,urgent
00209,v_00209_3,Is there anyone ahead on the path that I need to be aware of?,No.,,,,safety warnings,18.99,urgent
00209,v_00209_4,How do I navigate this hallway?,"Hold the cane in front of you, tapping it side to side to detect obstacles on the path.",Follow the guide dog.,Go straight.,,tool use,9,urgent
00210,v_00210_1,Is there a ramp ahead of me?,"No, there are some small steps here.",There is a 10-centimeter-high step in front of you.,There are steps in front of you.,,information reading,7.98,urgent
00210,v_00210_2,Is there a step or obstacle ahead of me?,"Yes, there is a step.","There is a 10 cm high step in front of you, and there is nothing else except this.","Yes, a step.",,information reading,7.98,urgent
00210,v_00210_3,Is the path clear for walking straight ahead?,Yes.,,,,information reading,16.98,urgent
